Name,Sequence Name,Locustag,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
FAD/NAD(P)-binding domain,NZ_BMXY01000003,IE066_RS11315,WP_189449902.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BMXY01000003,IE066_RS11380,WP_189449931.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BMXY01000003,IE066_RS11380,WP_189449931.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BMYD01000003,IE075_RS09950,WP_229792480.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BMYD01000003,IE075_RS09950,WP_229792480.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BMYK01000004,IE209_RS09665,WP_229882774.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BMYK01000004,IE209_RS09665,WP_229882774.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BMZP01000006,IE191_RS07905,WP_191323837.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BMZP01000006,IE191_RS07905,WP_191323837.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BNAQ01000001,IE187_RS04655,WP_189675275.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNAQ01000001,IE187_RS04655,WP_189675275.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
,NZ_BNAR01000004,IE307_RS16050,WP_191298742.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNAR01000004,IE307_RS16050,WP_191298742.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BNAV01000003,IE297_RS14670,WP_145935297.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNAV01000003,IE297_RS14670,WP_145935297.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
,NZ_BNAV01000003,IE297_RS14860,WP_145935441.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
,NZ_BNAV01000003,IE297_RS14860,WP_145935441.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNAV01000003,IE297_RS14860,WP_145935441.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BNAV01000003,IE297_RS14860,WP_145935441.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNAY01000003,IE302_RS17440,WP_191255532.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNAY01000003,IE302_RS17440,WP_191255532.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BNAY01000008,IE302_RS31590,WP_191258085.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNAY01000008,IE302_RS31590,WP_191258085.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
,NZ_BNBI01000005,IE316_RS13515,WP_190204514.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNBI01000005,IE316_RS13515,WP_190204514.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BNBI01000005,IE316_RS13515,WP_190204514.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BNBI01000005,IE316_RS13515,WP_190204514.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNBI01000008,IE316_RS19245,WP_190205640.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNBI01000008,IE316_RS19245,WP_190205640.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNBL01000001,IE295_RS00855,WP_190061443.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNBL01000001,IE295_RS00855,WP_190061443.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNBU01000003,IE303_RS12275,WP_171079304.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNBU01000003,IE303_RS12275,WP_171079304.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BNBU01000003,IE303_RS12910,WP_171078753.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNBU01000003,IE303_RS12910,WP_171078753.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNBY01000014,IE332_RS23555,WP_189919832.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNBY01000014,IE332_RS23555,WP_189919832.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
,NZ_BNCA01000014,IE314_RS18515,WP_190143759.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNCA01000014,IE314_RS18515,WP_190143759.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNCA01000024,IE314_RS26015,WP_190145012.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNCA01000024,IE314_RS26015,WP_190145012.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BNCB01000007,IE323_RS16840,WP_189994979.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BNCB01000007,IE323_RS16840,WP_189994979.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BSFK01000010,PKE85_RS10575,WP_271204703.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BSFK01000010,PKE85_RS10575,WP_271204703.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_BSFK01000010,PKE85_RS10580,WP_271204704.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_BSFK01000010,PKE85_RS10580,WP_271204704.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BSFK01000010,PKE85_RS10580,WP_271204704.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_BSFK01000010,PKE85_RS10580,WP_271204704.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVGU010000016,F8N47_RS16755,WP_150676092.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVGU010000016,F8N47_RS16755,WP_150676092.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVGW010000002,F8N22_RS04105,WP_034105872.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVGW010000002,F8N22_RS04105,WP_034105872.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVIC010000005,F8N23_RS22695,WP_150638050.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVIC010000005,F8N23_RS22695,WP_150638050.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVIE010000001,F8N72_RS01140,WP_150756768.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVIE010000001,F8N72_RS01140,WP_150756768.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVIO010000009,F8N53_RS21225,WP_154910330.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVIO010000009,F8N53_RS21225,WP_154910330.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVIT010000005,F8N40_RS17395,WP_154861166.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVIT010000005,F8N40_RS17395,WP_154861166.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVIY010000005,F8N66_RS20040,WP_150771846.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVIY010000005,F8N66_RS20040,WP_150771846.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVJB010000006,F8N76_RS20360,WP_090452728.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVJB010000006,F8N76_RS20360,WP_090452728.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CABVJD010000007,F8N69_RS18715,WP_150726608.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CABVJD010000007,F8N69_RS18715,WP_150726608.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CACSIM010000002,GVJ34_RS08855,WP_159268760.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CACSIM010000002,GVJ34_RS08855,WP_159268760.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEPP010000002,H9C75_RS05825,WP_053062810.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEPP010000002,H9C75_RS05825,WP_053062810.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEQM010000004,HWV77_RS11880,WP_006750379.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEQM010000004,HWV77_RS11880,WP_006750379.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEQM010000004,HWV77_RS11890,WP_006750377.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEQM010000004,HWV77_RS11890,WP_006750377.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEQP010000013,H9C80_RS27425,WP_186016073.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEQP010000013,H9C80_RS27425,WP_186016073.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEQR010000001,H9D15_RS04745,WP_029951068.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEQR010000001,H9D15_RS04745,WP_029951068.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADESR010000006,HWW87_RS25765,WP_175822657.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADESR010000006,HWW87_RS25765,WP_175822657.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADESR010000006,HWW87_RS25775,WP_175822659.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADESR010000006,HWW87_RS25775,WP_175822659.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUC010000004,HWW50_RS26145,WP_012337444.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUC010000004,HWW50_RS26145,WP_012337444.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUC010000004,HWW50_RS26155,WP_175788846.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUC010000004,HWW50_RS26155,WP_175788846.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUJ010000006,HWW63_RS09950,WP_012337444.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUJ010000006,HWW63_RS09950,WP_012337444.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUJ010000006,HWW63_RS09960,WP_012337446.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUJ010000006,HWW63_RS09960,WP_012337446.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUO010000002,HWX50_RS12370,WP_175925658.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUO010000002,HWX50_RS12370,WP_175925658.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUO010000002,HWX50_RS12380,WP_059555332.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUO010000002,HWX50_RS12380,WP_059555332.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUO010000003,HWX50_RS18645,WP_063814151.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUO010000003,HWX50_RS18645,WP_063814151.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUR010000003,HWX29_RS14485,WP_111998817.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUR010000003,HWX29_RS14485,WP_111998817.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUR010000003,HWX29_RS14495,WP_059555335.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUR010000003,HWX29_RS14495,WP_059555335.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUS010000001,HWX02_RS00535,WP_175897452.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUS010000001,HWX02_RS00535,WP_175897452.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_CADEUS010000001,HWX02_RS00535,WP_175897452.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUS010000008,HWX02_RS28180,WP_060084747.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUS010000008,HWX02_RS28180,WP_060084747.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUS010000008,HWX02_RS28190,WP_175899649.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUS010000008,HWX02_RS28190,WP_175899649.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUT010000023,HWW76_RS33935,WP_175851675.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUT010000023,HWW76_RS33935,WP_175851675.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUT010000023,HWW76_RS33945,WP_048027462.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUT010000023,HWW76_RS33945,WP_048027462.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUU010000004,HWX10_RS17875,WP_175893717.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUU010000004,HWX10_RS17875,WP_175893717.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUU010000004,HWX10_RS17885,WP_059555332.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUU010000004,HWX10_RS17885,WP_059555332.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUW010000001,HWY44_RS01785,WP_176096290.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUW010000001,HWY44_RS01785,WP_176096290.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_CADEUW010000001,HWY44_RS01785,WP_176096290.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUW010000009,HWY44_RS22955,WP_060084747.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUW010000009,HWY44_RS22955,WP_060084747.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEUW010000009,HWY44_RS22965,WP_060330529.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEUW010000009,HWY44_RS22965,WP_060330529.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEVB010000006,HWW79_RS27805,WP_174394565.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEVB010000006,HWW79_RS27805,WP_174394565.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
FAD/NAD(P)-binding domain,NZ_CADEVB010000006,HWW79_RS27805,WP_174394565.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEVB010000008,HWW79_RS31180,WP_174392021.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
FAD/NAD(P)-binding domain,NZ_CADEVB010000008,HWW79_RS31180,WP_174392021.1,SUPERFAMILY,SSF51905,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,FAD/NAD(P)-binding domain
,NZ_CADEVB010000008,HWW79_RS31190,WP_060084747.1,GENE3D,G3DSA:3.50.50.60,IPR036188,FAD/NAD-bd_sf,HOMOLOGOUS_SUPERFAMILY,
